position,artist,track,album,shelf_artist,shelf_album,disc,track_number,duration_ms,spotify_track_uri
505,Alicia Keys,"Unbreakable - Unplugged Live at the Brooklyn Academy of Music, Brooklyn, NY - July 2005",Unplugged,Alicia Keys,Unplugged,1,5,274000,spotify:track:2DRcaAO76feWOoWCWP1cPp
506,Alicia Keys,"How Come You Don't Call Me - Unplugged Live at the Brooklyn Academy of Music, Brooklyn, NY - July 2005",Unplugged,Alicia Keys,Unplugged,1,6,323760,spotify:track:09oPdIGjxiJbzyX8AcHply
507,Alicia Keys,"If I Was Your Woman - Unplugged Live at the Brooklyn Academy of Music, Brooklyn, NY - July 2005",Unplugged,Alicia Keys,Unplugged,1,7,244466,spotify:track:3dQtowkCSVxACYPkd2waXq
508,Alicia Keys,"If I Ain't Got You - Unplugged Live at the Brooklyn Academy of Music, Brooklyn, NY - July 2005",Unplugged,Alicia Keys,Unplugged,1,8,246000,spotify:track:2QcuQQRX2P0bhZcs861SJY
509,Alicia Keys,"Every Little Bit Hurts - Unplugged Live at the Brooklyn Academy of Music, Brooklyn, NY - July 2005",Unplugged,Alicia Keys,Unplugged,1,9,241440,spotify:track:4NEy474L2DgDhOgLWDzyE4
510,Alicia Keys,"Streets of New York (City Life) - Unplugged Live at the Brooklyn Academy of Music, Brooklyn, NY - July 2005",Unplugged,Alicia Keys,Unplugged,1,10,455533,spotify:track:1wfaQ0EpdUNqZdDjgG989o
511,"Alicia Keys, Adam Levine","Wild Horses (feat. Adam Levine) - Unplugged Live at the Brooklyn Academy of Music, Brooklyn, NY - July 2005",Unplugged,Alicia Keys,Unplugged,1,11,364800,spotify:track:6zo52JP3T62BJWN1Fd802D
512,Alicia Keys,"Diary - Unplugged Live at the Brooklyn Academy of Music, Brooklyn, NY - July 2005",Unplugged,Alicia Keys,Unplugged,1,12,353933,spotify:track:0oznE2fXDwAoja4j2R39lj
513,Alicia Keys,"You Don't Know My Name - Unplugged Live at the Brooklyn Academy of Music, Brooklyn, NY - July 2005",Unplugged,Alicia Keys,Unplugged,1,13,215800,spotify:track:2YpcIMAlj3xnB1Vr3qFYL1
514,Alicia Keys,"Stolen Moments - Unplugged Live at the Brooklyn Academy of Music, Brooklyn, NY - July 2005",Unplugged,Alicia Keys,Unplugged,1,14,314666,spotify:track:78hbE62MIMLm5QTzkqTILh
515,Alicia Keys,"Fallin' - Unplugged Live at the Brooklyn Academy of Music, Brooklyn, NY - July 2005",Unplugged,Alicia Keys,Unplugged,1,15,310133,spotify:track:1fzYdlr2RdnhxsI0bZsTms
516,"Alicia Keys, Damian Marley, Mos Def, Common, Common & Friends","Love It or Leave It Alone/Welcome to Jamrock (feat. Damien Marley, Common & Friends, Mos Def & Common) - Unplugged Live at the Brooklyn Academy of Music, Brooklyn, NY - July 2005",Unplugged,Alicia Keys,Unplugged,1,16,408533,spotify:track:3Z3HiCJT6fxv4uEx88wftl
